BioSamples,Tissue,Chemotype,Cultivar,Treatment,Pubmed,BioProject,Instrument,Layout,Selection_method,SRA_sample,SRA_study,Study_title,Study_abstract,Date,Origin
SAMN06277075,Bast_Fibre,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1945092,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2017-07-10 17:08:16,NA
SAMN06277076,Bast_Fibre,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1945091,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2017-07-10 17:08:16,NA
SAMN06277077,Bast_Fibre,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1945090,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2017-07-10 17:08:15,NA
SAMN06277078,Bast_Fibre,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1945089,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2017-07-10 17:08:15,NA
SAMN06277079,Bast_Fibre,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1945088,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2017-07-10 17:08:15,NA
SAMN06277080,Bast_Fibre,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1945087,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2017-07-10 17:08:15,NA
SAMN06277081,Bast_Fibre,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1945086,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2017-07-10 17:08:15,NA
SAMN05509013,Hypocotyl,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1598716,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2016-11-18 10:43:15,NA
SAMN05509014,Hypocotyl,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1598717,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2016-11-18 10:43:15,NA
SAMN05509015,Hypocotyl,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1598715,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2016-11-18 10:43:15,NA
SAMN05509016,Hypocotyl,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1598714,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2016-11-18 10:43:15,NA
SAMN05509017,Hypocotyl,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1598713,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2016-11-18 10:43:15,NA
SAMN05509018,Hypocotyl,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1598712,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2016-11-18 10:43:15,NA
SAMN05509019,Hypocotyl,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1598711,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2016-11-18 10:43:15,NA
SAMN05509020,Hypocotyl,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1598710,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2016-11-18 10:43:15,NA
SAMN05509021,Hypocotyl,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1598709,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2016-11-18 10:43:15,NA
SAMN05509022,Hypocotyl,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1598707,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2016-11-18 10:43:15,NA
SAMN05509023,Hypocotyl,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1598706,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",2016-11-18 10:43:15,NA
SAMN05509024,Hypocotyl,Type III,Santhica 27,NA,27917184,PRJNA435671,Illumina MiSeq,PAIRED,cDNA,SRS1598708,SRP133605,Cannabis sativa Transcriptome Assembly,"This project aims at providing a transcriptome assembly of a cultivar grown for fibres, especially phloem fibres. It has been designed to maximise the recovery of genes involved in cell wall formation, primary growth and secondary growth.",NA,NA
SAMEA104170454,Stem,Type III,Carmen,NA,NA,PRJEB21674,Illumina HiSeq 2000,PAIRED,cDNA,ERS1829472,ERP023948,1000 Plant (1KP) Transcriptomes: The Remaining Data,"1KP is an international multidisciplinary consortium acquiring large-scale gene sequences for the Viridiplantae (green plants), incorporating at some phylogenetic/taxonomic level nearly all known species from angiosperms to algae. This study follows initial data releases with the remaining sequence data.",2017-07-24 07:42:39,NA
SAMEA104170453,Core,Type III,Carmen,NA,NA,PRJEB21674,Illumina HiSeq 2000,PAIRED,cDNA,ERS1829471,ERP023948,1000 Plant (1KP) Transcriptomes: The Remaining Data,"1KP is an international multidisciplinary consortium acquiring large-scale gene sequences for the Viridiplantae (green plants), incorporating at some phylogenetic/taxonomic level nearly all known species from angiosperms to algae. This study follows initial data releases with the remaining sequence data.",2017-07-24 07:42:39,NA
SAMEA104170452,Stem,Type III,Carmen,NA,NA,PRJEB21674,Illumina HiSeq 2000,PAIRED,cDNA,ERS1829470,ERP023948,1000 Plant (1KP) Transcriptomes: The Remaining Data,"1KP is an international multidisciplinary consortium acquiring large-scale gene sequences for the Viridiplantae (green plants), incorporating at some phylogenetic/taxonomic level nearly all known species from angiosperms to algae. This study follows initial data releases with the remaining sequence data.",2017-07-24 07:42:39,NA
SAMEA104170451,Xylem,Type III,Carmen,NA,NA,PRJEB21674,Illumina HiSeq 2000,PAIRED,cDNA,ERS1829469,ERP023948,1000 Plant (1KP) Transcriptomes: The Remaining Data,"1KP is an international multidisciplinary consortium acquiring large-scale gene sequences for the Viridiplantae (green plants), incorporating at some phylogenetic/taxonomic level nearly all known species from angiosperms to algae. This study follows initial data releases with the remaining sequence data.",2017-07-24 07:42:39,NA
SAMN04296299,Leaf,Type III,'Yunma 5' and 'Bamahuoma',NA,NA,PRJNA304090,Illumina HiSeq 2000,PAIRED,cDNA,SRS1180044,SRP066670,Cannabis sativa Raw sequence reads,RNA-Seq to reveal the differences between two industrial hemp cultivars in China under stress.,2017-01-01 00:00:00,China: Yunnan and Guangxi
SAMN00738627,Mixed,Type I,Purple Kush,NA,22014239,PRJNA73819,Illumina HiSeq 2000,PAIRED,other,SRS266830,SRP008673,Cannabis sativa genome and transcriptome sequencing project,This project provides the assembled draft genome and transcriptome of Cannabis sativa. The high-potency medical marijuana strain Purple Kush was used for sequencing. The genome and transcriptome of the hemp cultivars 'Finola' and 'USO-31' were re-sequenced for comparative purposes. This project will provide genomic information useful in breeding cannabis varieties for medical and agricultural applications.,2011-10-12 22:31:10,missing
SAMN00738626,Root,Type I,Purple Kush,NA,22014239,PRJNA73819,Illumina HiSeq 2000,SINGLE,other,SRS266829,SRP008673,Cannabis sativa genome and transcriptome sequencing project,This project provides the assembled draft genome and transcriptome of Cannabis sativa. The high-potency medical marijuana strain Purple Kush was used for sequencing. The genome and transcriptome of the hemp cultivars 'Finola' and 'USO-31' were re-sequenced for comparative purposes. This project will provide genomic information useful in breeding cannabis varieties for medical and agricultural applications.,2011-10-12 22:31:10,missing
SAMN00738623,Stem,Type I,Purple Kush,NA,22014239,PRJNA73819,Illumina HiSeq 2000,SINGLE,other,SRS266826,SRP008673,Cannabis sativa genome and transcriptome sequencing project,This project provides the assembled draft genome and transcriptome of Cannabis sativa. The high-potency medical marijuana strain Purple Kush was used for sequencing. The genome and transcriptome of the hemp cultivars 'Finola' and 'USO-31' were re-sequenced for comparative purposes. This project will provide genomic information useful in breeding cannabis varieties for medical and agricultural applications.,2011-10-12 22:31:10,missing
SAMN00738622,Shoots,Type I,Purple Kush,NA,22014239,PRJNA73819,Illumina HiSeq 2000,SINGLE,other,SRS266825,SRP008673,Cannabis sativa genome and transcriptome sequencing project,This project provides the assembled draft genome and transcriptome of Cannabis sativa. The high-potency medical marijuana strain Purple Kush was used for sequencing. The genome and transcriptome of the hemp cultivars 'Finola' and 'USO-31' were re-sequenced for comparative purposes. This project will provide genomic information useful in breeding cannabis varieties for medical and agricultural applications.,2011-10-12 22:31:10,missing
SAMN00738621,Flower_female,Type I,Purple Kush,NA,22014239,PRJNA73819,Illumina HiSeq 2000,SINGLE,other,SRS266824,SRP008673,Cannabis sativa genome and transcriptome sequencing project,This project provides the assembled draft genome and transcriptome of Cannabis sativa. The high-potency medical marijuana strain Purple Kush was used for sequencing. The genome and transcriptome of the hemp cultivars 'Finola' and 'USO-31' were re-sequenced for comparative purposes. This project will provide genomic information useful in breeding cannabis varieties for medical and agricultural applications.,2011-10-12 22:31:10,missing
SAMN00738620,Flower_female,Type I,Purple Kush,NA,22014239,PRJNA73819,Illumina HiSeq 2000,SINGLE,other,SRS266823,SRP008673,Cannabis sativa genome and transcriptome sequencing project,This project provides the assembled draft genome and transcriptome of Cannabis sativa. The high-potency medical marijuana strain Purple Kush was used for sequencing. The genome and transcriptome of the hemp cultivars 'Finola' and 'USO-31' were re-sequenced for comparative purposes. This project will provide genomic information useful in breeding cannabis varieties for medical and agricultural applications.,2011-10-12 22:31:10,missing
SAMN00738619,Flower_female,Type I,Purple Kush,NA,22014239,PRJNA73819,Illumina HiSeq 2000,SINGLE,other,SRS266822,SRP008673,Cannabis sativa genome and transcriptome sequencing project,This project provides the assembled draft genome and transcriptome of Cannabis sativa. The high-potency medical marijuana strain Purple Kush was used for sequencing. The genome and transcriptome of the hemp cultivars 'Finola' and 'USO-31' were re-sequenced for comparative purposes. This project will provide genomic information useful in breeding cannabis varieties for medical and agricultural applications.,2011-10-12 22:31:10,missing
SAMN02731529,Mixed,Type III,Yunma No.1,drought stress,29862250,PRJNA245084,Illumina HiSeq 2000,PAIRED,cDNA,SRS595508,SRP041340,Whole genome-wide expression profiles of hemp (Cannabis sativa L.) in response to drought stress,"Drought stress is the main environmental factor influencing hemp growth and yield. However, little is known about the response mechanism of hemp to drought stress. A total of 44.10 M tags and 8.91G bases were sequenced in the control hemp (CK) and drought stress hemp (DS) libraries. A total of 1292 differentially expressed genes (DEGs), including 883 up-regulated genes and 409 down-regulated genes, were identified. These results may contribute toward improving our understanding about the drought stress regulatory mechanism of hemp, and improving its drought tolerance ability. Overall design: 3' tag-based DGE libraries were generated to exam the differentially expressed gene between drought-stressed and well-watered hemp",2017-04-24 11:38:09,NA
SAMN02731530,Mixed,Type III,Yunma No.1,drought stress,29862250,PRJNA245084,Illumina HiSeq 2000,PAIRED,cDNA,SRS595507,SRP041340,Whole genome-wide expression profiles of hemp (Cannabis sativa L.) in response to drought stress,"Drought stress is the main environmental factor influencing hemp growth and yield. However, little is known about the response mechanism of hemp to drought stress. A total of 44.10 M tags and 8.91G bases were sequenced in the control hemp (CK) and drought stress hemp (DS) libraries. A total of 1292 differentially expressed genes (DEGs), including 883 up-regulated genes and 409 down-regulated genes, were identified. These results may contribute toward improving our understanding about the drought stress regulatory mechanism of hemp, and improving its drought tolerance ability. Overall design: 3' tag-based DGE libraries were generated to exam the differentially expressed gene between drought-stressed and well-watered hemp",2017-04-24 11:38:09,NA
SAMN02731532,Mixed,Type III,Yunma No.1,control,29862250,PRJNA245084,Illumina HiSeq 2000,PAIRED,cDNA,SRS595506,SRP041340,Whole genome-wide expression profiles of hemp (Cannabis sativa L.) in response to drought stress,"Drought stress is the main environmental factor influencing hemp growth and yield. However, little is known about the response mechanism of hemp to drought stress. A total of 44.10 M tags and 8.91G bases were sequenced in the control hemp (CK) and drought stress hemp (DS) libraries. A total of 1292 differentially expressed genes (DEGs), including 883 up-regulated genes and 409 down-regulated genes, were identified. These results may contribute toward improving our understanding about the drought stress regulatory mechanism of hemp, and improving its drought tolerance ability. Overall design: 3' tag-based DGE libraries were generated to exam the differentially expressed gene between drought-stressed and well-watered hemp",2017-04-24 11:38:09,NA
SAMN02731531,Mixed,Type III,Yunma No.1,control,29862250,PRJNA245084,Illumina HiSeq 2000,PAIRED,cDNA,SRS595505,SRP041340,Whole genome-wide expression profiles of hemp (Cannabis sativa L.) in response to drought stress,"Drought stress is the main environmental factor influencing hemp growth and yield. However, little is known about the response mechanism of hemp to drought stress. A total of 44.10 M tags and 8.91G bases were sequenced in the control hemp (CK) and drought stress hemp (DS) libraries. A total of 1292 differentially expressed genes (DEGs), including 883 up-regulated genes and 409 down-regulated genes, were identified. These results may contribute toward improving our understanding about the drought stress regulatory mechanism of hemp, and improving its drought tolerance ability. Overall design: 3' tag-based DGE libraries were generated to exam the differentially expressed gene between drought-stressed and well-watered hemp",2017-04-24 11:38:09,NA
SAMN00262806,Root,Type III,MPC/MSU,NA,NA,PRJNA80055,Illumina Genome Analyzer IIx,PAIRED,cDNA,SRS190969,SRP006678,Cannabis sativa RNA-Seq - Medicinal Plants Consortium,Illumina RNA Sequencing (RNA-Seq) of Cannabis sativa for the Medicinal Plants Consortium,2011-09-30 09:47:38,NA
SAMN00262805,Leaf,Type III,MPC/MSU,NA,NA,PRJNA80055,Illumina Genome Analyzer IIx,PAIRED,cDNA,SRS190968,SRP006678,Cannabis sativa RNA-Seq - Medicinal Plants Consortium,Illumina RNA Sequencing (RNA-Seq) of Cannabis sativa for the Medicinal Plants Consortium,2011-09-30 09:47:38,NA
SAMN00262804,Flower_female,Type III,MPC/MSU,NA,NA,PRJNA80055,Illumina Genome Analyzer IIx,PAIRED,cDNA,SRS190967,SRP006678,Cannabis sativa RNA-Seq - Medicinal Plants Consortium,Illumina RNA Sequencing (RNA-Seq) of Cannabis sativa for the Medicinal Plants Consortium,2011-09-30 09:47:38,NA
SAMN38718262,Leaf,Type I,AGP029xBlackberry Kush Auto,NA,NA,PRJNA1049889,Illumina NovaSeq 6000,PAIRED,cDNA,SRS19900995,SRP478640,Auto-flowering in Cannabis sativa,"Identifying the genetic cause of auto-flowering in cannabis. Several methods were used including gene expression analysis (RNA-Seq), GWAS (genotyping by sequencing), fine mapping, and whole genome sequencing to identify the genetic cause of auto-flowering. RNA-seq data includes raw sequences from an Auto-flowering crossed with photoperiod sensitive F2 population over vegetative and flowering conditions. GBS and WGS data are from diverse cultivars containing both auto-flowering and photoperiod sensitive genotypes. Variant Call Files (VCF) for 275 cannabis GBS accession, 27 cannabis WGS accessions (chromosome 5 only, Purple Kush reference genome), and Auto-flowering by photoperiod sensitive F2 mapping population can be found on FigShare.com: https://figshare.com/projects/Loss_of_daylength_sensitivity_by_splice_site_mutation_in_Cannabis_pseudo-response_regulator/209362",2024-06-20 16:27:30,Canada:Vancouver
SAMN38718261,Leaf,Type I,AGP029xBlackberry Kush Auto,NA,NA,PRJNA1049889,Illumina NovaSeq 6000,PAIRED,cDNA,SRS19900994,SRP478640,Auto-flowering in Cannabis sativa,"Identifying the genetic cause of auto-flowering in cannabis. Several methods were used including gene expression analysis (RNA-Seq), GWAS (genotyping by sequencing), fine mapping, and whole genome sequencing to identify the genetic cause of auto-flowering. RNA-seq data includes raw sequences from an Auto-flowering crossed with photoperiod sensitive F2 population over vegetative and flowering conditions. GBS and WGS data are from diverse cultivars containing both auto-flowering and photoperiod sensitive genotypes. Variant Call Files (VCF) for 275 cannabis GBS accession, 27 cannabis WGS accessions (chromosome 5 only, Purple Kush reference genome), and Auto-flowering by photoperiod sensitive F2 mapping population can be found on FigShare.com: https://figshare.com/projects/Loss_of_daylength_sensitivity_by_splice_site_mutation_in_Cannabis_pseudo-response_regulator/209362",2024-06-20 16:27:27,Canada:Vancouver
SAMN38718260,Leaf,Type I,AGP029xBlackberry Kush Auto,NA,NA,PRJNA1049889,Illumina NovaSeq 6000,PAIRED,cDNA,SRS19900993,SRP478640,Auto-flowering in Cannabis sativa,"Identifying the genetic cause of auto-flowering in cannabis. Several methods were used including gene expression analysis (RNA-Seq), GWAS (genotyping by sequencing), fine mapping, and whole genome sequencing to identify the genetic cause of auto-flowering. RNA-seq data includes raw sequences from an Auto-flowering crossed with photoperiod sensitive F2 population over vegetative and flowering conditions. GBS and WGS data are from diverse cultivars containing both auto-flowering and photoperiod sensitive genotypes. Variant Call Files (VCF) for 275 cannabis GBS accession, 27 cannabis WGS accessions (chromosome 5 only, Purple Kush reference genome), and Auto-flowering by photoperiod sensitive F2 mapping population can be found on FigShare.com: https://figshare.com/projects/Loss_of_daylength_sensitivity_by_splice_site_mutation_in_Cannabis_pseudo-response_regulator/209362",2024-06-20 16:27:27,Canada:Vancouver
SAMN38718259,Leaf,Type I,AGP029xBlackberry Kush Auto,NA,NA,PRJNA1049889,Illumina NovaSeq 6000,PAIRED,cDNA,SRS19900992,SRP478640,Auto-flowering in Cannabis sativa,"Identifying the genetic cause of auto-flowering in cannabis. Several methods were used including gene expression analysis (RNA-Seq), GWAS (genotyping by sequencing), fine mapping, and whole genome sequencing to identify the genetic cause of auto-flowering. RNA-seq data includes raw sequences from an Auto-flowering crossed with photoperiod sensitive F2 population over vegetative and flowering conditions. GBS and WGS data are from diverse cultivars containing both auto-flowering and photoperiod sensitive genotypes. Variant Call Files (VCF) for 275 cannabis GBS accession, 27 cannabis WGS accessions (chromosome 5 only, Purple Kush reference genome), and Auto-flowering by photoperiod sensitive F2 mapping population can be found on FigShare.com: https://figshare.com/projects/Loss_of_daylength_sensitivity_by_splice_site_mutation_in_Cannabis_pseudo-response_regulator/209362",2024-06-20 16:27:28,Canada:Vancouver
SAMN38718258,Leaf,Type I,AGP029xBlackberry Kush Auto,NA,NA,PRJNA1049889,Illumina NovaSeq 6000,PAIRED,cDNA,SRS19900991,SRP478640,Auto-flowering in Cannabis sativa,"Identifying the genetic cause of auto-flowering in cannabis. Several methods were used including gene expression analysis (RNA-Seq), GWAS (genotyping by sequencing), fine mapping, and whole genome sequencing to identify the genetic cause of auto-flowering. RNA-seq data includes raw sequences from an Auto-flowering crossed with photoperiod sensitive F2 population over vegetative and flowering conditions. GBS and WGS data are from diverse cultivars containing both auto-flowering and photoperiod sensitive genotypes. Variant Call Files (VCF) for 275 cannabis GBS accession, 27 cannabis WGS accessions (chromosome 5 only, Purple Kush reference genome), and Auto-flowering by photoperiod sensitive F2 mapping population can be found on FigShare.com: https://figshare.com/projects/Loss_of_daylength_sensitivity_by_splice_site_mutation_in_Cannabis_pseudo-response_regulator/209362",2024-06-20 16:27:28,Canada:Vancouver
SAMN38718257,Leaf,Type I,AGP029xBlackberry Kush Auto,NA,NA,PRJNA1049889,Illumina NovaSeq 6000,PAIRED,cDNA,SRS19900987,SRP478640,Auto-flowering in Cannabis sativa,"Identifying the genetic cause of auto-flowering in cannabis. Several methods were used including gene expression analysis (RNA-Seq), GWAS (genotyping by sequencing), fine mapping, and whole genome sequencing to identify the genetic cause of auto-flowering. RNA-seq data includes raw sequences from an Auto-flowering crossed with photoperiod sensitive F2 population over vegetative and flowering conditions. GBS and WGS data are from diverse cultivars containing both auto-flowering and photoperiod sensitive genotypes. Variant Call Files (VCF) for 275 cannabis GBS accession, 27 cannabis WGS accessions (chromosome 5 only, Purple Kush reference genome), and Auto-flowering by photoperiod sensitive F2 mapping population can be found on FigShare.com: https://figshare.com/projects/Loss_of_daylength_sensitivity_by_splice_site_mutation_in_Cannabis_pseudo-response_regulator/209362",2024-06-20 16:27:28,Canada:Vancouver
SAMN38718256,Leaf,Type I,AGP029xBlackberry Kush Auto,NA,NA,PRJNA1049889,Illumina NovaSeq 6000,PAIRED,cDNA,SRS19900988,SRP478640,Auto-flowering in Cannabis sativa,"Identifying the genetic cause of auto-flowering in cannabis. Several methods were used including gene expression analysis (RNA-Seq), GWAS (genotyping by sequencing), fine mapping, and whole genome sequencing to identify the genetic cause of auto-flowering. RNA-seq data includes raw sequences from an Auto-flowering crossed with photoperiod sensitive F2 population over vegetative and flowering conditions. GBS and WGS data are from diverse cultivars containing both auto-flowering and photoperiod sensitive genotypes. Variant Call Files (VCF) for 275 cannabis GBS accession, 27 cannabis WGS accessions (chromosome 5 only, Purple Kush reference genome), and Auto-flowering by photoperiod sensitive F2 mapping population can be found on FigShare.com: https://figshare.com/projects/Loss_of_daylength_sensitivity_by_splice_site_mutation_in_Cannabis_pseudo-response_regulator/209362",2024-06-20 16:27:28,Canada:Vancouver
SAMN38718279,Leaf,Type I,AGP029xBlackberry Kush Auto,NA,NA,PRJNA1049889,Illumina NovaSeq 6000,PAIRED,cDNA,SRS19900989,SRP478640,Auto-flowering in Cannabis sativa,"Identifying the genetic cause of auto-flowering in cannabis. Several methods were used including gene expression analysis (RNA-Seq), GWAS (genotyping by sequencing), fine mapping, and whole genome sequencing to identify the genetic cause of auto-flowering. RNA-seq data includes raw sequences from an Auto-flowering crossed with photoperiod sensitive F2 population over vegetative and flowering conditions. GBS and WGS data are from diverse cultivars containing both auto-flowering and photoperiod sensitive genotypes. Variant Call Files (VCF) for 275 cannabis GBS accession, 27 cannabis WGS accessions (chromosome 5 only, Purple Kush reference genome), and Auto-flowering by photoperiod sensitive F2 mapping population can be found on FigShare.com: https://figshare.com/projects/Loss_of_daylength_sensitivity_by_splice_site_mutation_in_Cannabis_pseudo-response_regulator/209362",2024-06-20 16:27:28,Canada:Vancouver
SAMN38718278,Leaf,Type I,AGP029xBlackberry Kush Auto,NA,NA,PRJNA1049889,Illumina NovaSeq 6000,PAIRED,cDNA,SRS19900990,SRP478640,Auto-flowering in Cannabis sativa,"Identifying the genetic cause of auto-flowering in cannabis. Several methods were used including gene expression analysis (RNA-Seq), GWAS (genotyping by sequencing), fine mapping, and whole genome sequencing to identify the genetic cause of auto-flowering. RNA-seq data includes raw sequences from an Auto-flowering crossed with photoperiod sensitive F2 population over vegetative and flowering conditions. GBS and WGS data are from diverse cultivars containing both auto-flowering and photoperiod sensitive genotypes. Variant Call Files (VCF) for 275 cannabis GBS accession, 27 cannabis WGS accessions (chromosome 5 only, Purple Kush reference genome), and Auto-flowering by photoperiod sensitive F2 mapping population can be found on FigShare.com: https://figshare.com/projects/Loss_of_daylength_sensitivity_by_splice_site_mutation_in_Cannabis_pseudo-response_regulator/209362",2024-06-20 16:27:28,Canada:Vancouver
SAMN38718277,Leaf,Type I,AGP029xBlackberry Kush Auto,NA,NA,PRJNA1049889,Illumina NovaSeq 6000,PAIRED,cDNA,SRS19900986,SRP478640,Auto-flowering in Cannabis sativa,"Identifying the genetic cause of auto-flowering in cannabis. Several methods were used including gene expression analysis (RNA-Seq), GWAS (genotyping by sequencing), fine mapping, and whole genome sequencing to identify the genetic cause of auto-flowering. RNA-seq data includes raw sequences from an Auto-flowering crossed with photoperiod sensitive F2 population over vegetative and flowering conditions. GBS and WGS data are from diverse cultivars containing both auto-flowering and photoperiod sensitive genotypes. Variant Call Files (VCF) for 275 cannabis GBS accession, 27 cannabis WGS accessions (chromosome 5 only, Purple Kush reference genome), and Auto-flowering by photoperiod sensitive F2 mapping population can be found on FigShare.com: https://figshare.com/projects/Loss_of_daylength_sensitivity_by_splice_site_mutation_in_Cannabis_pseudo-response_regulator/209362",2024-06-20 16:27:28,Canada:Vancouver
SAMN38718276,Leaf,Type I,AGP029xBlackberry Kush Auto,NA,NA,PRJNA1049889,Illumina NovaSeq 6000,PAIRED,cDNA,SRS19900985,SRP478640,Auto-flowering in Cannabis sativa,"Identifying the genetic cause of auto-flowering in cannabis. Several methods were used including gene expression analysis (RNA-Seq), GWAS (genotyping by sequencing), fine mapping, and whole genome sequencing to identify the genetic cause of auto-flowering. RNA-seq data includes raw sequences from an Auto-flowering crossed with photoperiod sensitive F2 population over vegetative and flowering conditions. GBS and WGS data are from diverse cultivars containing both auto-flowering and photoperiod sensitive genotypes. Variant Call Files (VCF) for 275 cannabis GBS accession, 27 cannabis WGS accessions (chromosome 5 only, Purple Kush reference genome), and Auto-flowering by photoperiod sensitive F2 mapping population can be found on FigShare.com: https://figshare.com/projects/Loss_of_daylength_sensitivity_by_splice_site_mutation_in_Cannabis_pseudo-response_regulator/209362",2024-06-20 16:27:28,Canada:Vancouver
